CATEGORY,WORD1,WORD2,WORD3,TARGET
semantic-capitals,چین,پکن,آلمان,برلین
semantic-capitals,چین,پکن,سوریه,دمشق
semantic-capitals,چین,پکن,الجزایر,الجزیره
semantic-capitals,چین,پکن,اسپانیا,مادرید
semantic-capitals,چین,پکن,کره‌شمالی,پیونگ‌یانگ
semantic-capitals,چین,پکن,افغانستان,کابل
semantic-capitals,چین,پکن,کنیا,نایروبی
semantic-capitals,چین,پکن,یونان,آتن
semantic-capitals,چین,پکن,اتیوپی,آدیس‌آبابا
semantic-capitals,چین,پکن,آرژانتین,بوئنوس‌آیرس
semantic-capitals,چین,پکن,ایتالیا,رم
semantic-capitals,چین,پکن,اوکراین,کی‌یف
semantic-capitals,چین,پکن,کامرون,یائونده
semantic-capitals,چین,پکن,برزیل,برازیلیا
semantic-capitals,چین,پکن,اردن,امان
semantic-capitals,چین,پکن,آنگولا,لواندا
semantic-capitals,چین,پکن,آفریقای‌جنوبی,پرتوریا
semantic-capitals,چین,پکن,فرانسه,پاریس
semantic-capitals,چین,پکن,ازبکستان,تاشکند
semantic-capitals,چین,پکن,آذربایجان,باکو
semantic-capitals,چین,پکن,کوبا,هاوانا
semantic-capitals,چین,پکن,کامبوج,پنوم‌پن
semantic-capitals,چین,پکن,رومانی,بخارست
semantic-capitals,چین,پکن,ونزوئلا,کاراکاس
semantic-capitals,چین,پکن,مراکش,رباط
semantic-capitals,چین,پکن,اتریش,وین
semantic-capitals,چین,پکن,سودان,خارطوم
semantic-capitals,چین,پکن,مجارستان,بوداپست
semantic-capitals,چین,پکن,لهستان,ورشو
semantic-capitals,چین,پکن,بلاروس,مینسک
semantic-capitals,چین,پکن,اوگاندا,کامپالا
semantic-capitals,چین,پکن,غنا,آکرا
semantic-capitals,چین,پکن,ماداگاسکار,آنتاناناریوو
semantic-capitals,چین,پکن,لبنان,بیروت
semantic-capitals,چین,پکن,سوئد,استکهلم
semantic-capitals,چین,پکن,قطر,دوحه
semantic-capitals,چین,پکن,یمن,صنعا
semantic-capitals,چین,پکن,مالزی,کوالالامپور
semantic-capitals,چین,پکن,لیبی,طرابلس
semantic-capitals,چین,پکن,بلژیک,بروکسل
semantic-capitals,چین,پکن,گرجستان,تفلیس
semantic-capitals,چین,پکن,پاکستان,اسلام‌آباد
semantic-capitals,چین,پکن,عمان,مسقط
semantic-capitals,چین,پکن,ترکمنستان,عشق‌آباد
semantic-capitals,چین,پکن,آمریکا,واشینگتن
semantic-capitals,چین,پکن,امارات,ابوظبی
semantic-capitals,چین,پکن,تاجیکستان,دوشنبه
semantic-capitals,چین,پکن,بحرین,منامه
semantic-capitals,هند,دهلی‌نو,ایران,تهران
semantic-capitals,هند,دهلی‌نو,چین,پکن
semantic-capitals,هند,دهلی‌نو,ژاپن,توکیو
semantic-capitals,هند,دهلی‌نو,فیلیپین,مانیل
semantic-capitals,هند,دهلی‌نو,روسیه,موسکو
semantic-capitals,هند,دهلی‌نو,مصر,قاهره
semantic-capitals,هند,دهلی‌نو,اندونزی,جاکارتا
semantic-capitals,هند,دهلی‌نو,کره‌جنوبی,سئول
semantic-capitals,هند,دهلی‌نو,بنگلادش,داکا
semantic-capitals,هند,دهلی‌نو,مکزیک,مکزیکوسیتی
semantic-capitals,هند,دهلی‌نو,بریتانیا,لندن
semantic-capitals,هند,دهلی‌نو,پرو,لیما
semantic-capitals,هند,دهلی‌نو,تایلند,بانکوک
semantic-capitals,هند,دهلی‌نو,کلمبیا,بوگوتا
semantic-capitals,هند,دهلی‌نو,ویتنام,هانوی
semantic-capitals,هند,دهلی‌نو,عراق,بغداد
semantic-capitals,هند,دهلی‌نو,سنگاپور,سنگاپور
semantic-capitals,هند,دهلی‌نو,ترکیه,آنکارا
semantic-capitals,هند,دهلی‌نو,شیلی,سانتیاگو
semantic-capitals,هند,دهلی‌نو,عربستان,ریاض
semantic-capitals,هند,دهلی‌نو,آلمان,برلین
semantic-capitals,هند,دهلی‌نو,سوریه,دمشق
semantic-capitals,هند,دهلی‌نو,الجزایر,الجزیره
semantic-capitals,هند,دهلی‌نو,اسپانیا,مادرید
semantic-capitals,هند,دهلی‌نو,کره‌شمالی,پیونگ‌یانگ
semantic-capitals,هند,دهلی‌نو,افغانستان,کابل
semantic-capitals,هند,دهلی‌نو,کنیا,نایروبی
semantic-capitals,هند,دهلی‌نو,یونان,آتن
semantic-capitals,هند,دهلی‌نو,اتیوپی,آدیس‌آبابا
semantic-capitals,هند,دهلی‌نو,آرژانتین,بوئنوس‌آیرس
semantic-capitals,هند,دهلی‌نو,ایتالیا,رم
semantic-capitals,هند,دهلی‌نو,اوکراین,کی‌یف
semantic-capitals,هند,دهلی‌نو,کامرون,یائونده
semantic-capitals,هند,دهلی‌نو,برزیل,برازیلیا
semantic-capitals,هند,دهلی‌نو,اردن,امان
semantic-capitals,هند,دهلی‌نو,آنگولا,لواندا
semantic-capitals,هند,دهلی‌نو,آفریقای‌جنوبی,پرتوریا
semantic-capitals,هند,دهلی‌نو,فرانسه,پاریس
semantic-capitals,هند,دهلی‌نو,ازبکستان,تاشکند
semantic-capitals,هند,دهلی‌نو,آذربایجان,باکو
semantic-capitals,هند,دهلی‌نو,کوبا,هاوانا
semantic-capitals,هند,دهلی‌نو,کامبوج,پنوم‌پن
semantic-capitals,هند,دهلی‌نو,رومانی,بخارست
semantic-capitals,هند,دهلی‌نو,ونزوئلا,کاراکاس
semantic-capitals,هند,دهلی‌نو,مراکش,رباط
semantic-capitals,هند,دهلی‌نو,اتریش,وین
semantic-capitals,هند,دهلی‌نو,سودان,خارطوم
semantic-capitals,هند,دهلی‌نو,مجارستان,بوداپست
semantic-capitals,هند,دهلی‌نو,لهستان,ورشو
semantic-capitals,هند,دهلی‌نو,بلاروس,مینسک
semantic-capitals,هند,دهلی‌نو,اوگاندا,کامپالا
semantic-capitals,هند,دهلی‌نو,غنا,آکرا
semantic-capitals,هند,دهلی‌نو,ماداگاسکار,آنتاناناریوو
semantic-capitals,هند,دهلی‌نو,لبنان,بیروت
semantic-capitals,هند,دهلی‌نو,سوئد,استکهلم
semantic-capitals,هند,دهلی‌نو,قطر,دوحه
semantic-capitals,هند,دهلی‌نو,یمن,صنعا
semantic-capitals,هند,دهلی‌نو,مالزی,کوالالامپور
semantic-capitals,هند,دهلی‌نو,لیبی,طرابلس
semantic-capitals,هند,دهلی‌نو,بلژیک,بروکسل
semantic-capitals,هند,دهلی‌نو,گرجستان,تفلیس
semantic-capitals,هند,دهلی‌نو,پاکستان,اسلام‌آباد
semantic-capitals,هند,دهلی‌نو,عمان,مسقط
semantic-capitals,هند,دهلی‌نو,ترکمنستان,عشق‌آباد
semantic-capitals,هند,دهلی‌نو,آمریکا,واشینگتن
semantic-capitals,هند,دهلی‌نو,امارات,ابوظبی
semantic-capitals,هند,دهلی‌نو,تاجیکستان,دوشنبه
semantic-capitals,هند,دهلی‌نو,بحرین,منامه
semantic-capitals,ژاپن,توکیو,ایران,تهران
semantic-capitals,ژاپن,توکیو,چین,پکن
semantic-capitals,ژاپن,توکیو,هند,دهلی‌نو
semantic-capitals,ژاپن,توکیو,فیلیپین,مانیل
semantic-capitals,ژاپن,توکیو,روسیه,موسکو
semantic-capitals,ژاپن,توکیو,مصر,قاهره
semantic-capitals,ژاپن,توکیو,اندونزی,جاکارتا
semantic-capitals,ژاپن,توکیو,کره‌جنوبی,سئول
semantic-capitals,ژاپن,توکیو,بنگلادش,داکا
semantic-capitals,ژاپن,توکیو,مکزیک,مکزیکوسیتی
semantic-capitals,ژاپن,توکیو,بریتانیا,لندن
semantic-capitals,ژاپن,توکیو,پرو,لیما
semantic-capitals,ژاپن,توکیو,تایلند,بانکوک
semantic-capitals,ژاپن,توکیو,کلمبیا,بوگوتا
semantic-capitals,ژاپن,توکیو,ویتنام,هانوی
semantic-capitals,ژاپن,توکیو,عراق,بغداد
semantic-capitals,ژاپن,توکیو,سنگاپور,سنگاپور
semantic-capitals,ژاپن,توکیو,ترکیه,آنکارا
semantic-capitals,ژاپن,توکیو,شیلی,سانتیاگو
semantic-capitals,ژاپن,توکیو,عربستان,ریاض
semantic-capitals,ژاپن,توکیو,آلمان,برلین
semantic-capitals,ژاپن,توکیو,سوریه,دمشق
semantic-capitals,ژاپن,توکیو,الجزایر,الجزیره
semantic-capitals,ژاپن,توکیو,اسپانیا,مادرید
semantic-capitals,ژاپن,توکیو,کره‌شمالی,پیونگ‌یانگ
semantic-capitals,ژاپن,توکیو,افغانستان,کابل
semantic-capitals,ژاپن,توکیو,کنیا,نایروبی
semantic-capitals,ژاپن,توکیو,یونان,آتن
semantic-capitals,ژاپن,توکیو,اتیوپی,آدیس‌آبابا
semantic-capitals,ژاپن,توکیو,آرژانتین,بوئنوس‌آیرس
semantic-capitals,ژاپن,توکیو,ایتالیا,رم
semantic-capitals,ژاپن,توکیو,اوکراین,کی‌یف
semantic-capitals,ژاپن,توکیو,کامرون,یائونده
semantic-capitals,ژاپن,توکیو,برزیل,برازیلیا
semantic-capitals,ژاپن,توکیو,اردن,امان
semantic-capitals,ژاپن,توکیو,آنگولا,لواندا
semantic-capitals,ژاپن,توکیو,آفریقای‌جنوبی,پرتوریا
semantic-capitals,ژاپن,توکیو,فرانسه,پاریس
semantic-capitals,ژاپن,توکیو,ازبکستان,تاشکند
semantic-capitals,ژاپن,توکیو,آذربایجان,باکو
semantic-capitals,ژاپن,توکیو,کوبا,هاوانا
semantic-capitals,ژاپن,توکیو,کامبوج,پنوم‌پن
semantic-capitals,ژاپن,توکیو,رومانی,بخارست
semantic-capitals,ژاپن,توکیو,ونزوئلا,کاراکاس
semantic-capitals,ژاپن,توکیو,مراکش,رباط
semantic-capitals,ژاپن,توکیو,اتریش,وین
semantic-capitals,ژاپن,توکیو,سودان,خارطوم
semantic-capitals,ژاپن,توکیو,مجارستان,بوداپست
semantic-capitals,ژاپن,توکیو,لهستان,ورشو
semantic-capitals,ژاپن,توکیو,بلاروس,مینسک
semantic-capitals,ژاپن,توکیو,اوگاندا,کامپالا
semantic-capitals,ژاپن,توکیو,غنا,آکرا
semantic-capitals,ژاپن,توکیو,ماداگاسکار,آنتاناناریوو
semantic-capitals,ژاپن,توکیو,لبنان,بیروت
semantic-capitals,ژاپن,توکیو,سوئد,استکهلم
semantic-capitals,ژاپن,توکیو,قطر,دوحه
semantic-capitals,ژاپن,توکیو,یمن,صنعا
semantic-capitals,ژاپن,توکیو,مالزی,کوالالامپور
semantic-capitals,ژاپن,توکیو,لیبی,طرابلس
semantic-capitals,ژاپن,توکیو,بلژیک,بروکسل
semantic-capitals,ژاپن,توکیو,گرجستان,تفلیس
semantic-capitals,ژاپن,توکیو,پاکستان,اسلام‌آباد
semantic-capitals,ژاپن,توکیو,عمان,مسقط
semantic-capitals,ژاپن,توکیو,ترکمنستان,عشق‌آباد
semantic-capitals,ژاپن,توکیو,آمریکا,واشینگتن
semantic-capitals,ژاپن,توکیو,امارات,ابوظبی
semantic-capitals,ژاپن,توکیو,تاجیکستان,دوشنبه
semantic-capitals,ژاپن,توکیو,بحرین,منامه
semantic-capitals,فیلیپین,مانیل,ایران,تهران
semantic-capitals,فیلیپین,مانیل,چین,پکن
semantic-capitals,فیلیپین,مانیل,هند,دهلی‌نو
semantic-capitals,فیلیپین,مانیل,ژاپن,توکیو
semantic-capitals,فیلیپین,مانیل,روسیه,موسکو
semantic-capitals,فیلیپین,مانیل,مصر,قاهره
semantic-capitals,فیلیپین,مانیل,اندونزی,جاکارتا
semantic-capitals,فیلیپین,مانیل,کره‌جنوبی,سئول
semantic-capitals,فیلیپین,مانیل,بنگلادش,داکا
semantic-capitals,فیلیپین,مانیل,مکزیک,مکزیکوسیتی
semantic-capitals,فیلیپین,مانیل,بریتانیا,لندن
semantic-capitals,فیلیپین,مانیل,پرو,لیما
semantic-capitals,فیلیپین,مانیل,تایلند,بانکوک
semantic-capitals,فیلیپین,مانیل,کلمبیا,بوگوتا
semantic-capitals,فیلیپین,مانیل,ویتنام,هانوی
semantic-capitals,فیلیپین,مانیل,عراق,بغداد
semantic-capitals,فیلیپین,مانیل,سنگاپور,سنگاپور
semantic-capitals,فیلیپین,مانیل,ترکیه,آنکارا
semantic-capitals,فیلیپین,مانیل,شیلی,سانتیاگو
semantic-capitals,فیلیپین,مانیل,عربستان,ریاض
semantic-capitals,فیلیپین,مانیل,آلمان,برلین
semantic-capitals,فیلیپین,مانیل,سوریه,دمشق
semantic-capitals,فیلیپین,مانیل,الجزایر,الجزیره
semantic-capitals,فیلیپین,مانیل,اسپانیا,مادرید
semantic-capitals,فیلیپین,مانیل,کره‌شمالی,پیونگ‌یانگ
semantic-capitals,فیلیپین,مانیل,افغانستان,کابل
semantic-capitals,فیلیپین,مانیل,کنیا,نایروبی
semantic-capitals,فیلیپین,مانیل,یونان,آتن
semantic-capitals,فیلیپین,مانیل,اتیوپی,آدیس‌آبابا
semantic-capitals,فیلیپین,مانیل,آرژانتین,بوئنوس‌آیرس
semantic-capitals,فیلیپین,مانیل,ایتالیا,رم
semantic-capitals,فیلیپین,مانیل,اوکراین,کی‌یف
semantic-capitals,فیلیپین,مانیل,کامرون,یائونده
semantic-capitals,فیلیپین,مانیل,برزیل,برازیلیا
semantic-capitals,فیلیپین,مانیل,اردن,امان
semantic-capitals,فیلیپین,مانیل,آنگولا,لواندا
semantic-capitals,فیلیپین,مانیل,آفریقای‌جنوبی,پرتوریا
semantic-capitals,فیلیپین,مانیل,فرانسه,پاریس
semantic-capitals,فیلیپین,مانیل,ازبکستان,تاشکند
semantic-capitals,فیلیپین,مانیل,آذربایجان,باکو
semantic-capitals,فیلیپین,مانیل,کوبا,هاوانا
semantic-capitals,فیلیپین,مانیل,کامبوج,پنوم‌پن
semantic-capitals,فیلیپین,مانیل,رومانی,بخارست
semantic-capitals,فیلیپین,مانیل,ونزوئلا,کاراکاس
semantic-capitals,فیلیپین,مانیل,مراکش,رباط
semantic-capitals,فیلیپین,مانیل,اتریش,وین
semantic-capitals,فیلیپین,مانیل,سودان,خارطوم
semantic-capitals,فیلیپین,مانیل,مجارستان,بوداپست
semantic-capitals,فیلیپین,مانیل,لهستان,ورشو
semantic-capitals,فیلیپین,مانیل,بلاروس,مینسک
semantic-capitals,فیلیپین,مانیل,اوگاندا,کامپالا
semantic-capitals,فیلیپین,مانیل,غنا,آکرا
semantic-capitals,فیلیپین,مانیل,ماداگاسکار,آنتاناناریوو
semantic-capitals,فیلیپین,مانیل,لبنان,بیروت
semantic-capitals,فیلیپین,مانیل,سوئد,استکهلم
semantic-capitals,فیلیپین,مانیل,قطر,دوحه
semantic-capitals,فیلیپین,مانیل,یمن,صنعا
semantic-capitals,فیلیپین,مانیل,مالزی,کوالالامپور
semantic-capitals,فیلیپین,مانیل,لیبی,طرابلس
semantic-capitals,فیلیپین,مانیل,بلژیک,بروکسل
semantic-capitals,فیلیپین,مانیل,گرجستان,تفلیس
semantic-capitals,فیلیپین,مانیل,پاکستان,اسلام‌آباد
semantic-capitals,فیلیپین,مانیل,عمان,مسقط
semantic-capitals,فیلیپین,مانیل,ترکمنستان,عشق‌آباد
semantic-capitals,فیلیپین,مانیل,آمریکا,واشینگتن
semantic-capitals,فیلیپین,مانیل,امارات,ابوظبی
semantic-capitals,فیلیپین,مانیل,تاجیکستان,دوشنبه
semantic-capitals,فیلیپین,مانیل,بحرین,منامه
semantic-capitals,روسیه,موسکو,ایران,تهران
semantic-capitals,روسیه,موسکو,چین,پکن
semantic-capitals,روسیه,موسکو,هند,دهلی‌نو
semantic-capitals,روسیه,موسکو,ژاپن,توکیو
semantic-capitals,روسیه,موسکو,فیلیپین,مانیل
semantic-capitals,روسیه,موسکو,مصر,قاهره
semantic-capitals,روسیه,موسکو,اندونزی,جاکارتا
semantic-capitals,روسیه,موسکو,کره‌جنوبی,سئول
semantic-capitals,روسیه,موسکو,بنگلادش,داکا
semantic-capitals,روسیه,موسکو,مکزیک,مکزیکوسیتی
semantic-capitals,روسیه,موسکو,بریتانیا,لندن
semantic-capitals,روسیه,موسکو,پرو,لیما
semantic-capitals,روسیه,موسکو,تایلند,بانکوک
semantic-capitals,روسیه,موسکو,کلمبیا,بوگوتا
semantic-capitals,روسیه,موسکو,ویتنام,هانوی
semantic-capitals,روسیه,موسکو,عراق,بغداد
semantic-capitals,روسیه,موسکو,سنگاپور,سنگاپور
semantic-capitals,روسیه,موسکو,ترکیه,آنکارا
semantic-capitals,روسیه,موسکو,شیلی,سانتیاگو
semantic-capitals,روسیه,موسکو,عربستان,ریاض
semantic-capitals,روسیه,موسکو,آلمان,برلین
semantic-capitals,روسیه,موسکو,سوریه,دمشق
semantic-capitals,روسیه,موسکو,الجزایر,الجزیره
semantic-capitals,روسیه,موسکو,اسپانیا,مادرید
semantic-capitals,روسیه,موسکو,کره‌شمالی,پیونگ‌یانگ
semantic-capitals,روسیه,موسکو,افغانستان,کابل
semantic-capitals,روسیه,موسکو,کنیا,نایروبی
semantic-capitals,روسیه,موسکو,یونان,آتن
semantic-capitals,روسیه,موسکو,اتیوپی,آدیس‌آبابا
semantic-capitals,روسیه,موسکو,آرژانتین,بوئنوس‌آیرس
semantic-capitals,روسیه,موسکو,ایتالیا,رم
semantic-capitals,روسیه,موسکو,اوکراین,کی‌یف
semantic-capitals,روسیه,موسکو,کامرون,یائونده
semantic-capitals,روسیه,موسکو,برزیل,برازیلیا
semantic-capitals,روسیه,موسکو,اردن,امان
semantic-capitals,روسیه,موسکو,آنگولا,لواندا
semantic-capitals,روسیه,موسکو,آفریقای‌جنوبی,پرتوریا
semantic-capitals,روسیه,موسکو,فرانسه,پاریس
semantic-capitals,روسیه,موسکو,ازبکستان,تاشکند
semantic-capitals,روسیه,موسکو,آذربایجان,باکو
semantic-capitals,روسیه,موسکو,کوبا,هاوانا
semantic-capitals,روسیه,موسکو,کامبوج,پنوم‌پن
semantic-capitals,روسیه,موسکو,رومانی,بخارست
semantic-capitals,روسیه,موسکو,ونزوئلا,کاراکاس
semantic-capitals,روسیه,موسکو,مراکش,رباط
semantic-capitals,روسیه,موسکو,اتریش,وین
semantic-capitals,روسیه,موسکو,سودان,خارطوم
semantic-capitals,روسیه,موسکو,مجارستان,بوداپست
semantic-capitals,روسیه,موسکو,لهستان,ورشو
semantic-capitals,روسیه,موسکو,بلاروس,مینسک
semantic-capitals,روسیه,موسکو,اوگاندا,کامپالا
semantic-capitals,روسیه,موسکو,غنا,آکرا
semantic-capitals,روسیه,موسکو,ماداگاسکار,آنتاناناریوو
semantic-capitals,روسیه,موسکو,لبنان,بیروت
semantic-capitals,روسیه,موسکو,سوئد,استکهلم
semantic-capitals,روسیه,موسکو,قطر,دوحه
semantic-capitals,روسیه,موسکو,یمن,صنعا
semantic-capitals,روسیه,موسکو,مالزی,کوالالامپور
semantic-capitals,روسیه,موسکو,لیبی,طرابلس
semantic-capitals,روسیه,موسکو,بلژیک,بروکسل
semantic-capitals,روسیه,موسکو,گرجستان,تفلیس
semantic-capitals,روسیه,موسکو,پاکستان,اسلام‌آباد
semantic-capitals,روسیه,موسکو,عمان,مسقط
semantic-capitals,روسیه,موسکو,ترکمنستان,عشق‌آباد
semantic-capitals,روسیه,موسکو,آمریکا,واشینگتن
semantic-capitals,روسیه,موسکو,امارات,ابوظبی
semantic-capitals,روسیه,موسکو,تاجیکستان,دوشنبه
semantic-capitals,روسیه,موسکو,بحرین,منامه
semantic-capitals,مصر,قاهره,ایران,تهران
semantic-capitals,مصر,قاهره,چین,پکن
semantic-capitals,مصر,قاهره,هند,دهلی‌نو
semantic-capitals,مصر,قاهره,ژاپن,توکیو
semantic-capitals,مصر,قاهره,فیلیپین,مانیل
semantic-capitals,مصر,قاهره,روسیه,موسکو
semantic-capitals,مصر,قاهره,اندونزی,جاکارتا
semantic-capitals,مصر,قاهره,کره‌جنوبی,سئول
semantic-capitals,مصر,قاهره,بنگلادش,داکا
semantic-capitals,مصر,قاهره,مکزیک,مکزیکوسیتی
semantic-capitals,مصر,قاهره,بریتانیا,لندن
semantic-capitals,مصر,قاهره,پرو,لیما
semantic-capitals,مصر,قاهره,تایلند,بانکوک
semantic-capitals,مصر,قاهره,کلمبیا,بوگوتا
semantic-capitals,مصر,قاهره,ویتنام,هانوی
semantic-capitals,مصر,قاهره,عراق,بغداد
semantic-capitals,مصر,قاهره,سنگاپور,سنگاپور
semantic-capitals,مصر,قاهره,ترکیه,آنکارا
semantic-capitals,مصر,قاهره,شیلی,سانتیاگو
semantic-capitals,مصر,قاهره,عربستان,ریاض
semantic-capitals,مصر,قاهره,آلمان,برلین
semantic-capitals,مصر,قاهره,سوریه,دمشق
semantic-capitals,مصر,قاهره,الجزایر,الجزیره
semantic-capitals,مصر,قاهره,اسپانیا,مادرید
semantic-capitals,مصر,قاهره,کره‌شمالی,پیونگ‌یانگ
semantic-capitals,مصر,قاهره,افغانستان,کابل
semantic-capitals,مصر,قاهره,کنیا,نایروبی
semantic-capitals,مصر,قاهره,یونان,آتن
semantic-capitals,مصر,قاهره,اتیوپی,آدیس‌آبابا
semantic-capitals,مصر,قاهره,آرژانتین,بوئنوس‌آیرس
semantic-capitals,مصر,قاهره,ایتالیا,رم
semantic-capitals,مصر,قاهره,اوکراین,کی‌یف
semantic-capitals,مصر,قاهره,کامرون,یائونده
semantic-capitals,مصر,قاهره,برزیل,برازیلیا
semantic-capitals,مصر,قاهره,اردن,امان
semantic-capitals,مصر,قاهره,آنگولا,لواندا
semantic-capitals,مصر,قاهره,آفریقای‌جنوبی,پرتوریا
semantic-capitals,مصر,قاهره,فرانسه,پاریس
semantic-capitals,مصر,قاهره,ازبکستان,تاشکند
semantic-capitals,مصر,قاهره,آذربایجان,باکو
semantic-capitals,مصر,قاهره,کوبا,هاوانا
semantic-capitals,مصر,قاهره,کامبوج,پنوم‌پن
semantic-capitals,مصر,قاهره,رومانی,بخارست
semantic-capitals,مصر,قاهره,ونزوئلا,کاراکاس
semantic-capitals,مصر,قاهره,مراکش,رباط
semantic-capitals,مصر,قاهره,اتریش,وین
semantic-capitals,مصر,قاهره,سودان,خارطوم
semantic-capitals,مصر,قاهره,مجارستان,بوداپست
semantic-capitals,مصر,قاهره,لهستان,ورشو
semantic-capitals,مصر,قاهره,بلاروس,مینسک
semantic-capitals,مصر,قاهره,اوگاندا,کامپالا
semantic-capitals,مصر,قاهره,غنا,آکرا
semantic-capitals,مصر,قاهره,ماداگاسکار,آنتاناناریوو
semantic-capitals,مصر,قاهره,لبنان,بیروت
semantic-capitals,مصر,قاهره,سوئد,استکهلم
semantic-capitals,مصر,قاهره,قطر,دوحه
semantic-capitals,مصر,قاهره,یمن,صنعا
semantic-capitals,مصر,قاهره,مالزی,کوالالامپور
semantic-capitals,مصر,قاهره,لیبی,طرابلس
semantic-capitals,مصر,قاهره,بلژیک,بروکسل
semantic-capitals,مصر,قاهره,گرجستان,تفلیس
